N,mpinn_corr,mpinn_mse,deltapinn_corr,deltapinn_mse,seed
1,,,0.5606663357537287,224.6391947826527,0
1,,,0.8570524407247457,214.63309801423307,1
1,,,-0.2278508676148519,426.5860932129004,2
2,,,-0.4259547283464628,512.2339756372904,0
2,,,-0.2527915948810168,500.3131310255871,1
2,,,0.1722066990748242,405.39813081030064,2
3,,,0.3825428508720833,296.8304190466282,0
3,,,0.4347886501311548,287.80537467402934,1
3,,,0.3828698527728111,296.15700288247655,2
4,,,0.1543358231655834,337.32793447578854,0
4,,,0.433280163538692,247.6091716841024,1
4,,,-0.4650378860240577,374.5785524476977,2
5,,,0.0877588345387079,245.7402767263696,0
5,,,0.5953945440186569,175.6882782876631,1
5,,,0.5140891878191234,183.99182697718427,2
6,,,-0.2400229851198917,312.862697260692,0
6,,,0.1266433550036952,270.02178536391096,1
6,,,-0.392565045571419,366.2275297636031,2
7,,,-0.0579548677687127,264.4981319767326,0
7,,,0.0163009463779467,253.5478535867257,1
7,,,-0.5124742397559379,374.79412398684894,2
8,,,0.6126293724264316,161.15779974173316,0
8,,,0.1056653267591342,229.97958720573783,1
8,,,0.5307478126258199,162.38471289181575,2
9,,,0.5906033902502659,140.1656642247837,0
9,,,0.3045181161370621,181.9914681206754,1
9,,,0.4828677252592648,153.6322147447125,2
10,,,0.5807989606713038,119.10969223136097,0
10,,,0.5846673878517127,117.99323581896888,1
10,,,0.5664353981207458,121.45024275805814,2
11,,,0.6866812733201223,95.19556219559992,0
11,,,0.679229744333471,96.51045618413204,1
11,,,0.6804789527634685,97.05843455470384,2
12,,,0.8346293447380375,56.785872642812194,0
12,,,0.818650697250172,59.69549123585943,1
12,,,0.8261458708994346,58.32478886272738,2
13,,,0.890880015681463,34.145485385670845,0
13,,,0.84759910290642,45.38948125077695,1
13,,,0.8531543248642283,44.08487687581994,2
14,,,0.8527742043477454,40.64040223313173,0
14,,,0.8524398545799168,40.56846220298596,1
14,,,0.8568240758168761,40.413519858158594,2
15,,,0.9407425725739946,16.35513783116394,0
15,,,0.9357964769091898,17.98986418205186,1
15,,,0.9345561176633312,18.44573517210413,2
16,,,0.985744234805068,3.566665247387433,0
16,,,0.9856604091420428,3.503545531538227,1
16,,,0.9869280056887333,3.372827993011518,2
